program_id,result_binary,gpa_normalized,gre_quant,gre_verbal,toefl,undergrad_tier_encoded,intern_score,intern_count,research_score,is_international,is_female,major_relevance_score,has_paper,has_research
18,1,3.9,159.0,170.0,,,,,0,0.0,,,,
25,0,3.33,156.0,167.0,,,,,0,1.0,,,,
5,0,3.5,165.0,168.0,,,,,0,0.0,,,,
5,1,3.9,162.0,170.0,,,,,0,1.0,,,,
6,1,3.6,168.0,169.0,,,,,0,0.0,,,,
1,1,3.86,158.0,168.0,,,,,0,1.0,,,,
8,1,3.54,170.0,156.0,,,,,0,1.0,,,,
4,1,3.75,170.0,170.0,,,,,0,0.0,,,,
6,1,3.7,161.0,167.0,,,,,0,1.0,,,,
5,1,3.8,170.0,164.0,,,,,0,1.0,,,,
8,1,3.97,169.0,169.0,,,,,0,0.0,,,,
5,0,3.98,160.0,162.0,,,,,0,0.0,,,,
5,0,3.8,163.0,170.0,,,,,0,1.0,,,,
8,0,3.89,168.0,148.0,,,,,0,1.0,,,,
20,1,3.97,154.0,168.0,,,,,0,0.0,,,,
5,0,3.79,168.0,154.0,,,,,0,1.0,,,,
23,1,3.98,160.0,162.0,,,,,0,0.0,,,,
23,1,3.6,141.0,169.0,,,,,0,1.0,,,,
5,1,3.98,160.0,162.0,,,,,0,0.0,,,,
31,1,3.0,161.0,163.0,,,,,0,0.0,,,,
5,0,3.78,154.0,159.0,,,,,0,1.0,,,,
10,0,3.2,157.0,164.0,,,,,0,1.0,,,,
5,1,3.68,164.0,167.0,,,,,0,0.0,,,,
5,1,3.83,164.0,170.0,,,,,0,0.0,,,,
5,1,3.92,164.0,170.0,,,,,0,1.0,,,,
5,0,3.93,159.0,170.0,,,,,0,1.0,,,,
25,1,3.94,164.0,170.0,,,,,0,0.0,,,,
10,0,3.3,152.0,169.0,,,,,0,1.0,,,,
8,1,3.3,167.0,154.0,,,,,0,1.0,,,,
18,0,3.72,164.0,170.0,,,,,0,0.0,,,,
23,1,3.0,161.0,163.0,,,,,0,0.0,,,,
18,0,3.98,160.0,162.0,,,,,0,0.0,,,,
17,1,3.65,164.0,169.0,,,,,0,0.0,,,,
5,0,3.65,164.0,169.0,,,,,0,0.0,,,,
4,0,3.9,159.0,170.0,,,,,0,0.0,,,,
32,0,3.7,163.0,158.0,,,,,0,1.0,,,,
6,0,3.97,154.0,168.0,,,,,0,0.0,,,,
1,1,3.97,159.0,168.0,,,,,0,1.0,,,,
1,1,3.9,155.0,170.0,,,,,0,1.0,,,,
29,1,3.7,154.0,164.0,,,,,0,1.0,,,,
32,1,3.82,168.0,168.0,,,,,0,1.0,,,,
32,1,3.7,167.0,167.0,,,,,0,1.0,,,,
32,1,3.8,169.0,165.0,,,,,0,1.0,,,,
27,0,4.0,162.0,148.0,,,,,0,1.0,,,,
32,1,3.89,158.0,166.0,,,,,0,0.0,,,,
32,1,3.95,170.0,148.0,,,,,0,1.0,,,,
18,1,3.9,169.0,167.0,,,,,0,0.0,,,,
4,0,3.8,169.0,,,,,,0,1.0,,,,
32,1,3.61,159.0,164.0,,,,,0,0.0,,,,
18,0,4.0,170.0,166.0,,,,,0,0.0,,,,
18,0,3.56,170.0,156.0,,,,,0,1.0,,,,
