id,gender,bg_type,nationality,gpa,gpa_scale,gre,toefl,major,intern_desc,has_paper,has_research,courses_note,program,result,season,source
173,unknown,,其他国际,,4,,,,,不明,不明,,nyu-tandon-mfe,accepted,10Fall,gradcafe
174,unknown,,其他国际,3.11,4,166,,,,不明,不明,,nyu-tandon-mfe,accepted,17Fall,gradcafe
175,unknown,,其他国际,,4,163,,,,不明,不明,,nyu-tandon-mfe,accepted,16Fall,gradcafe
176,unknown,,美籍,3.85,4,,,,,不明,不明,,nyu-tandon-mfe,accepted,26Fall,gradcafe
177,unknown,,其他国际,3.65,4,,,,,不明,不明,,nyu-tandon-mfe,accepted,26Fall,gradcafe
178,unknown,,美籍,4.0,4,339,,,,不明,不明,,nyu-tandon-mfe,rejected,26Fall,gradcafe
179,unknown,,美籍,,4,,,,,不明,不明,,nyu-tandon-mfe,rejected,26Fall,gradcafe
180,unknown,,美籍,,4,,,,,不明,不明,,nyu-tandon-mfe,interview,26Fall,gradcafe
181,unknown,,其他国际,3.74,4,,,,,不明,不明,,nyu-tandon-mfe,accepted,26Fall,gradcafe
182,unknown,,美籍,,4,,,,,不明,不明,,nyu-courant,accepted,,gradcafe
183,unknown,,其他国际,,4,,,,,不明,不明,,nyu-courant,rejected,,gradcafe
184,unknown,,其他国际,3.95,4,170,,,,不明,不明,,nyu-courant,accepted,18Fall,gradcafe
185,unknown,,美籍,3.69,4,165,,,,不明,不明,,nyu-courant,rejected,25Fall,gradcafe
186,unknown,,其他国际,3.3,4,165,,,,不明,不明,,nyu-courant,accepted,26Fall,gradcafe
187,unknown,,其他国际,3.26,4,,,,,不明,不明,,nyu-courant,accepted,26Fall,gradcafe
188,unknown,,美籍,,4,,,,,不明,不明,,nyu-courant,waitlisted,20Fall,gradcafe
189,unknown,,其他国际,3.71,4,168,,,,不明,不明,,nyu-courant,accepted,14Fall,gradcafe
190,unknown,,其他国际,3.86,4,800,,,,不明,不明,,nyu-courant,rejected,14Fall,gradcafe
191,unknown,,美籍,4.0,4,170,,,,不明,不明,,nyu-courant,accepted,14Fall,gradcafe
192,unknown,,其他国际,,4,600,,,,不明,不明,,nyu-courant,accepted,14Fall,gradcafe
193,unknown,,其他国际,3.04,4,,,,,不明,不明,,gatech-qcf,rejected,26Fall,gradcafe
194,unknown,,其他国际,3.8,4,,,,,不明,不明,,gatech-qcf,accepted,26Fall,gradcafe
195,unknown,,美籍,,4,,,,,不明,不明,,gatech-qcf,interview,26Fall,gradcafe
196,unknown,,美籍,3.95,4,,,,,不明,不明,,gatech-qcf,accepted,26Fall,gradcafe
197,unknown,,其他国际,,4,,,,,不明,不明,,gatech-qcf,rejected,21Fall,gradcafe
198,unknown,,其他国际,3.6,4,160,,,,不明,不明,,gatech-qcf,rejected,20Fall,gradcafe
199,unknown,,其他国际,3.47,4,170,,,,不明,不明,,gatech-qcf,rejected,14Fall,gradcafe
